sex	isced11	unit	age	geo\time	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
T	ED0-2	PC	Y55-64	HU	27.6 	25.7 	25.0 	25.2 	23.9 	22.8 b	22.3 	21.9 	20.5 	19.3 	19.3 	18.4 
T	ED0-2	PC	Y55-64	IE	52.3 	49.6 	47.3 	44.6 	41.2 	38.3 b	36.1 	35.6 	34.2 b	32.5 	31.9 	29.9 
T	ED0-2	PC	Y55-64	IS	43.3 	45.0 	36.7 	38.6 	35.4 	31.5 b	32.0 	29.1 	29.9 	29.8 	29.6 	29.0 b
T	ED0-2	PC	Y55-64	IT	63.4 	61.9 	59.7 	57.6 	55.8 	53.9 b	52.8 	51.6 	50.2 	49.8 	49.7 	48.8 
T	ED0-2	PC	Y55-64	LT	15.7 	13.4 	10.4 	8.9 	7.1 	6.3 b	5.5 	4.3 	3.6 	3.3 	3.5 	2.5 
T	ED0-2	PC	Y55-64	LU	29.5 b	30.9 	29.1 	31.4 	26.8 	26.9 b	32.5 b	32.0 u	37.1 u	32.1 	33.5 	34.3 
T	ED0-2	PC	Y55-64	LV	18.9 	15.1 	14.6 	12.6 	11.7 	10.3 b	8.6 	8.0 	7.4 	6.5 	5.9 	4.8 
T	ED0-2	PC	Y55-64	ME	: 	: 	26.7 	27.8 	23.5 	23.8 b	22.5 	21.8 	20.7 	19.5 	19.1 	18.7 
T	ED0-2	PC	Y55-64	MK	49.0 	47.3 	45.4 	45.1 	44.4 	42.2 b	43.0 	42.6 	41.6 	40.7 	39.9 	39.1 
T	ED0-2	PC	Y55-64	MT	85.3 	83.1 	81.7 b	79.9 	77.2 	74.5 b	72.2 	71.0 	71.7 	69.2 	67.7 	65.2 
T	ED0-2	PC	Y55-64	NL	40.1 	39.9 	39.6 b	38.6 	35.3 b	35.1 b	35.1 	34.0 	32.8 	31.5 	30.9 b	29.5 
T	ED0-2	PC	Y55-64	NO	21.5 	20.9 	19.1 	18.4 	18.5 	19.4 b	19.0 	20.3 	20.9 	20.6 	22.1 	22.1 
T	ED0-2	PC	Y55-64	PL	22.5 	20.8 b	20.0 	18.8 	17.1 	15.8 b	14.9 	14.1 	12.9 	11.8 	10.6 	9.6 
T	ED0-2	PC	Y55-64	PT	86.0 	84.3 	81.7 b	80.5 	78.9 	77.1 b	75.6 	74.0 	73.4 	71.7 	69.5 	65.0 
T	ED0-2	PC	Y55-64	RO	42.8 	41.1 b	39.5 	37.5 	36.1 	38.7 b	34.8 	30.6 	27.5 	26.5 	25.8 	23.0 
T	ED0-2	PC	Y55-64	RS	: 	38.4 	37.3 	35.7 	34.9 	33.5 b	32.6 	31.5 	30.6 	29.1 	27.2 	26.2 
T	ED0-2	PC	Y55-64	SE	31.2 	30.4 	29.4 	27.8 	26.5 	25.6 b	24.5 	22.9 	21.4 	19.2 b	18.3 	18.0 
T	ED0-2	PC	Y55-64	SI	26.2 	27.8 	27.1 	25.6 	25.6 	25.4 b	23.1 	21.4 	21.3 	20.8 	18.6 	16.0 
T	ED0-2	PC	Y55-64	SK	17.3 	16.7 	15.9 b	14.3 	14.5 	15.5 b	14.3 	13.3 	11.6 	11.6 	11.5 	9.4 
T	ED0-2	PC	Y55-64	TR	84.9 	85.3 	84.6 	83.5 	83.3 	83.0 b	81.6 	81.1 	80.4 	79.8 	78.4 	77.2 
T	ED0-2	PC	Y55-64	UK	32.8 	31.8 b	31.4 b	28.9 	28.3 	27.7 b	26.9 	27.0 	26.6 	26.9 	25.6 	: 
